0.05
2
Time,N001,I1,R1,
0.00012,-27.9953,5.42274,-1.39977,
0.000121,-28.4547,5.44557,-1.42274,
0.000122,-28.9114,5.46827,-1.44557,
0.000123,-29.3653,5.49083,-1.46827,
0.000124,-29.8165,5.51325,-1.49083,
0.000125,-30.265,5.53553,-1.51325,
0.000126,-30.7107,5.55768,-1.53553,
0.000127,-31.1536,5.57968,-1.55768,
0.000128,-31.5936,5.60155,-1.57968,
0.000129,-32.0309,5.62327,-1.60155,
0.00013,-32.4653,5.64484,-1.62327,
0.000131,-32.8969,5.66628,-1.64484,
0.000132,-33.3255,5.68757,-1.66628,
0.000133,-33.7513,5.70871,-1.68757,
0.000134,-34.1742,5.72971,-1.70871,
0.000135,-34.5941,5.75056,-1.72971,
0.000136,-35.0111,5.77126,-1.75056,
0.000137,-35.4251,5.79181,-1.77126,
0.000138,-35.8362,5.81221,-1.79181,
0.000139,-36.2443,5.83247,-1.81221,
0.00014,-36.6493,5.85257,-1.83247,
0.000141,-37.0513,5.87252,-1.85257,
0.000142,-37.4503,5.89231,-1.87252,
0.000143,-37.8462,5.91195,-1.89231,
0.000144,-38.2391,5.93144,-1.91195,
0.000145,-38.6288,5.95078,-1.93144,
0.000146,-39.0155,5.96995,-1.95078,
0.000147,-39.399,5.98897,-1.96995,
0.000148,-39.7794,6.00783,-1.98897,
0.000149,-40.1567,6.02654,-2.00783,
0.00015,-40.5308,6.04508,-2.02654,
0.000151,-40.9017,6.06347,-2.04508,
0.000152,-41.2694,6.0817,-2.06347,
0.000153,-41.6339,6.09976,-2.0817,
0.000154,-41.9952,6.11766,-2.09976,
0.000155,-42.3533,6.1354,-2.11766,
0.000156,-42.7081,6.15298,-2.1354,
0.000157,-43.0596,6.17039,-2.15298,
0.000158,-43.4078,6.18764,-2.17039,
0.000159,-43.7528,6.20472,-2.18764,
0.00016,-44.0945,6.22164,-2.20472,
0.000161,-44.4328,6.23839,-2.22164,
0.000162,-44.7678,6.25497,-2.23839,
0.000163,-45.0994,6.27139,-2.25497,
0.000164,-45.4277,6.28763,-2.27139,
0.000165,-45.7527,6.30371,-2.28763,
0.000166,-46.0742,6.31962,-2.30371,
0.000167,-46.3923,6.33535,-2.31962,
0.000168,-46.7071,6.35092,-2.33535,
0.000169,-47.0184,6.36631,-2.35092,
0.00017,-47.3262,6.38153,-2.36631,
0.000171,-47.6307,6.39658,-2.38153,
0.000172,-47.9316,6.41146,-2.39658,
0.000173,-48.2291,6.42616,-2.41146,
0.000174,-48.5231,6.44068,-2.42616,
0.000175,-48.8136,6.45503,-2.44068,
0.000176,-49.1007,6.46921,-2.45503,
0.000177,-49.3841,6.48321,-2.46921,
0.000178,-49.6641,6.49703,-2.48321,
0.000179,-49.9405,6.51067,-2.49703,
0.00018,-50.2134,6.52414,-2.51067,
0.000181,-50.4827,6.53742,-2.52414,
0.000182,-50.7484,6.55053,-2.53742,
0.000183,-51.0106,6.56346,-2.55053,
0.000184,-51.2692,6.57621,-2.56346,
0.000185,-51.5241,6.58877,-2.57621,
0.000186,-51.7755,6.60116,-2.58877,
0.000187,-52.0232,6.61336,-2.60116,
0.000188,-52.2673,6.62539,-2.61336,
0.000189,-52.5077,6.63723,-2.62539,
0.00019,-52.7445,6.64888,-2.63723,
0.000191,-52.9776,6.66036,-2.64888,
0.000192,-53.2071,6.67164,-2.66036,
0.000193,-53.4329,6.68275,-2.67164,
0.000194,-53.655,6.69367,-2.68275,
0.000195,-53.8734,6.7044,-2.69367,
0.000196,-54.0881,6.71495,-2.7044,
0.000197,-54.2991,6.72532,-2.71495,
0.000198,-54.5063,6.73549,-2.72532,
0.000199,-54.7098,6.74548,-2.73549,
0.0002,-54.9096,6.75528,-2.74548,
0.000201,-55.1057,6.7649,-2.75528,
0.000202,-55.2979,6.77432,-2.7649,
0.000203,-55.4865,6.78356,-2.77432,
0.000204,-55.6712,6.79261,-2.78356,
0.000205,-55.8522,6.80147,-2.79261,
0.000206,-56.0294,6.81014,-2.80147,
0.000207,-56.2028,6.81862,-2.81014,
0.000208,-56.3724,6.82691,-2.81862,
0.000209,-56.5382,6.83501,-2.82691,
0.00021,-56.7001,6.84292,-2.83501,
0.000211,-56.8583,6.85063,-2.84292,
0.000212,-57.0127,6.85816,-2.85063,
0.000213,-57.1632,6.86549,-2.85816,
0.000214,-57.3099,6.87263,-2.86549,
