Detected Component: I1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:-0.001 G31:0 G31:0.001 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: V1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R2
G11:0 G11:0 G11:0 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
G11:0 G11:0 G11:0 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R1
G11:0.001 G11:0 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R2
G11:0.001001 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
G11:0.001001 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: C1
G11:1 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Time,N001,N002,N003,N004,C1,L1,R2,R1,V1,I1,
8.4e-05,-2.01187e+233,-2.00985e+239,9.13529e+216,0,-2.01187e+233,-2.00985e+233,2.00985e+233,-2.01187e+230,0,-0.1,
8.5e-05,-2.01388e+236,-2.01186e+242,9.13392e+219,0,-2.01388e+236,-2.01186e+236,2.01186e+236,-2.01388e+233,0,-0.1,
8.6e-05,-2.01589e+239,-2.01388e+245,9.1498e+222,0,-2.01589e+239,-2.01387e+239,2.01387e+239,-2.01589e+236,0,-0.1,
8.7e-05,-2.01791e+242,-2.01589e+248,9.16119e+225,0,-2.01791e+242,-2.01589e+242,2.01589e+242,-2.01791e+239,0,-0.1,
8.8e-05,-2.01993e+245,-2.01791e+251,9.19154e+228,0,-2.01993e+245,-2.0179e+245,2.0179e+245,-2.01993e+242,0,-0.1,
8.9e-05,-2.02195e+248,-2.01992e+254,9.21807e+231,0,-2.02195e+248,-2.01992e+248,2.01992e+248,-2.02195e+245,0,-0.1,
9e-05,-2.02397e+251,-2.02194e+257,9.1909e+234,0,-2.02397e+251,-2.02194e+251,2.02194e+251,-2.02397e+248,0,-0.1,
9.1e-05,-2.02599e+254,-2.02397e+260,9.20799e+237,0,-2.02599e+254,-2.02396e+254,2.02396e+254,-2.02599e+251,0,-0.1,
9.2e-05,-2.02802e+257,-2.02599e+263,9.19456e+240,0,-2.02802e+257,-2.02599e+257,2.02599e+257,-2.02802e+254,0,-0.1,
9.3e-05,-2.03005e+260,-2.02802e+266,9.20186e+243,0,-2.03005e+260,-2.02801e+260,2.02801e+260,-2.03005e+257,0,-0.1,
9.4e-05,-2.03208e+263,-2.03004e+269,9.23151e+246,0,-2.03208e+263,-2.03004e+263,2.03004e+263,-2.03208e+260,0,-0.1,
9.5e-05,-2.03411e+266,-2.03207e+272,9.2573e+249,0,-2.03411e+266,-2.03207e+266,2.03207e+266,-2.03411e+263,0,-0.1,
9.6e-05,-2.03614e+269,-2.03411e+275,9.22172e+252,0,-2.03614e+269,-2.0341e+269,2.0341e+269,-2.03614e+266,0,-0.1,
9.7e-05,-2.03818e+272,-2.03614e+278,9.26709e+255,0,-2.03818e+272,-2.03614e+272,2.03614e+272,-2.03818e+269,0,-0.1,
9.8e-05,-2.04022e+275,-2.03818e+281,9.24926e+258,0,-2.04022e+275,-2.03817e+275,2.03817e+275,-2.04022e+272,0,-0.1,
9.9e-05,-2.04226e+278,-2.04021e+284,9.25598e+261,0,-2.04226e+278,-2.04021e+278,2.04021e+278,-2.04226e+275,0,-0.1,
0.0001,-2.0443e+281,-2.04225e+287,9.32068e+264,0,-2.0443e+281,-2.04225e+281,2.04225e+281,-2.0443e+278,0,-0.1,
