Detected Component: R3
G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G31:0 G31:-0.2 G31:0.2 
Detected Component: R3
G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G31:0 G31:-0.2 G31:1.2 
Detected Component: R3
G11:0 G11:0 G11:0 G21:0 G21:0.2 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Detected Component: R1
G11:0 G11:0 G11:0 G21:-0.25 G21:0.45 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Detected Component: R1
G11:0.25 G11:-0.25 G11:0 G21:-0.25 G21:0.45 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Detected Component: V1
G11:1 G11:0 G11:0 G21:-0.25 G21:0.45 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Time,N001,N002,N003,V1,R1,R3,R3,
0.0025,5,3,0.5,0,0.5,0.5,0.5,
0.0026,5,3,0.5,0,0.5,0.5,0.5,
0.0027,5,3,0.5,0,0.5,0.5,0.5,
0.0028,5,3,0.5,0,0.5,0.5,0.5,
0.0029,5,3,0.5,0,0.5,0.5,0.5,
0.003,5,3,0.5,0,0.5,0.5,0.5,
0.0031,5,3,0.5,0,0.5,0.5,0.5,
0.0032,5,3,0.5,0,0.5,0.5,0.5,
0.0033,5,3,0.5,0,0.5,0.5,0.5,
0.0034,5,3,0.5,0,0.5,0.5,0.5,
0.0035,5,3,0.5,0,0.5,0.5,0.5,
0.0036,5,3,0.5,0,0.5,0.5,0.5,
0.0037,5,3,0.5,0,0.5,0.5,0.5,
0.0038,5,3,0.5,0,0.5,0.5,0.5,
0.0039,5,3,0.5,0,0.5,0.5,0.5,
0.004,5,3,0.5,0,0.5,0.5,0.5,
0.0041,5,3,0.5,0,0.5,0.5,0.5,
0.0042,5,3,0.5,0,0.5,0.5,0.5,
0.0043,5,3,0.5,0,0.5,0.5,0.5,
0.0044,5,3,0.5,0,0.5,0.5,0.5,
0.0045,5,3,0.5,0,0.5,0.5,0.5,
0.0046,5,3,0.5,0,0.5,0.5,0.5,
0.0047,5,3,0.5,0,0.5,0.5,0.5,
0.0048,5,3,0.5,0,0.5,0.5,0.5,
0.0049,5,3,0.5,0,0.5,0.5,0.5,
0.005,5,3,0.5,0,0.5,0.5,0.5,
0.0051,5,3,0.5,0,0.5,0.5,0.5,
0.0052,5,3,0.5,0,0.5,0.5,0.5,
0.0053,5,3,0.5,0,0.5,0.5,0.5,
0.0054,5,3,0.5,0,0.5,0.5,0.5,
0.0055,5,3,0.5,0,0.5,0.5,0.5,
0.0056,5,3,0.5,0,0.5,0.5,0.5,
